date,open,high,low,close,volume,dividends,splits
2012-12-14,123.12,123.35,122.74,122.93,137701700,0.0,0
2012-12-17,123.25,124.44,123.22,124.38,143238200,0.0,0
2012-12-18,124.57,125.87,124.39,125.76,177762800,0.0,0
2012-12-19,125.9,125.94,124.78,124.82,150895400,0.0,0
2012-12-20,124.9,125.56,124.56,125.54,168487000,0.0,0
2012-12-21,123.86,125.54,123.66,124.4,245883800,1.022,0
2012-12-24,124.13,124.2,123.88,124.02,53874600,0.0,0
2012-12-26,124.27,124.33,123.15,123.5,106947700,0.0,0
2012-12-27,123.53,123.78,121.9,123.33,167920600,0.0,0
2012-12-28,122.53,123.21,121.86,122.0,148806700,0.0,0
2012-12-31,121.68,124.2,121.57,124.07,243935200,0.0,0
2013-01-02,126.42,127.33,126.09,127.25,192059000,0.0,0
2013-01-03,127.19,127.52,126.62,126.96,144761800,0.0,0
2013-01-04,127.17,127.73,126.91,127.52,116817700,0.0,0
2013-01-07,127.07,127.3,126.7,127.17,110002500,0.0,0
2013-01-08,126.95,127.12,126.31,126.81,121265100,0.0,0
2013-01-09,127.09,127.48,126.89,127.13,90745600,0.0,0
2013-01-10,127.84,128.15,127.17,128.14,130735400,0.0,0
2013-01-11,128.11,128.2,127.73,128.13,113917300,0.0,0
2013-01-14,127.98,128.13,127.57,128.05,89567200,0.0,0
2013-01-15,127.45,128.25,127.37,128.13,93172600,0.0,0
2013-01-16,127.87,128.32,127.73,128.11,104849500,0.0,0
2013-01-17,128.68,129.31,128.2,128.94,133833500,0.0,0
2013-01-18,128.92,129.37,128.45,129.23,169906000,0.0,0
2013-01-22,129.23,129.93,128.93,129.93,111797300,0.0,0
2013-01-23,129.93,130.25,129.69,130.14,104596100,0.0,0
2013-01-24,129.94,130.81,129.82,130.17,146426400,0.0,0
2013-01-25,130.58,130.9,130.14,130.9,147211600,0.0,0
2013-01-28,130.94,130.97,130.26,130.75,113357700,0.0,0
2013-01-29,130.48,131.43,130.4,131.26,105694400,0.0,0
2013-01-30,131.24,131.5,130.62,130.75,137447700,0.0,0
2013-01-31,130.59,131.02,130.34,130.42,108975800,0.0,0
2013-02-01,131.25,131.92,131.02,131.77,131173000,0.0,0
2013-02-04,130.96,131.79,130.19,130.28,159073600,0.0,0
2013-02-05,130.99,131.97,130.94,131.6,113912400,0.0,0
2013-02-06,131.14,131.78,131.04,131.7,138762800,0.0,0
2013-02-07,131.74,131.86,130.56,131.52,162490000,0.0,0
2013-02-08,131.75,132.33,131.75,132.25,103133700,0.0,0
2013-02-11,132.2,132.34,131.9,132.23,73775000,0.0,0
2013-02-12,132.24,132.69,132.09,132.44,65392700,0.0,0
2013-02-13,132.71,132.96,132.18,132.56,82322600,0.0,0
2013-02-14,132.16,132.84,132.01,132.68,80834300,0.0,0
2013-02-15,132.8,132.94,132.04,132.52,215226500,0.0,0
2013-02-19,132.75,133.54,132.57,133.52,95105400,0.0,0
2013-02-20,133.42,133.46,131.78,131.85,160574800,0.0,0
2013-02-21,131.52,131.92,130.63,131.05,183257000,0.0,0
2013-02-22,131.69,132.33,131.11,132.33,106356600,0.0,0
2013-02-25,132.98,133.18,129.81,129.81,245824800,0.0,0
2013-02-26,130.44,130.86,129.58,130.7,186596200,0.0,0
2013-02-27,130.59,132.71,130.48,132.35,150781900,0.0,0
2013-02-28,132.34,133.19,131.91,132.09,126866000,0.0,0
2013-03-01,131.63,132.72,131.04,132.52,170634800,0.0,0
2013-03-04,132.22,133.23,132.01,133.23,99010200,0.0,0
2013-03-05,133.87,134.78,133.86,134.42,121431900,0.0,0
2013-03-06,134.9,134.97,134.31,134.61,94469900,0.0,0
2013-03-07,134.78,135.02,134.62,134.85,86101400,0.0,0
2013-03-08,135.44,135.61,134.74,135.42,123477800,0.0,0
2013-03-11,135.32,135.95,135.15,135.94,83746800,0.0,0
2013-03-12,135.84,136.0,135.22,135.63,105755800,0.0,0
2013-03-13,135.7,136.02,135.24,135.83,92550900,0.0,0
2013-03-14,136.18,136.61,135.83,136.55,126329900,0.0,0
2013-03-15,136.39,136.55,135.91,136.37,138601100,0.694,0
2013-03-18,135.06,136.2,134.94,135.62,126704300,0.0,0
2013-03-19,135.9,136.09,134.41,135.3,167567300,0.0,0
2013-03-20,136.1,136.47,135.87,136.25,113759300,0.0,0
2013-03-21,135.43,136.2,134.85,135.08,128605000,0.0,0
2013-03-22,135.51,136.17,135.41,136.17,111163600,0.0,0
2013-03-25,136.53,136.75,135.07,135.6,151322300,0.0,0
2013-03-26,136.16,136.72,136.01,136.68,86856600,0.0,0
2013-03-27,135.87,136.73,135.64,136.68,99950600,0.0,0
2013-03-28,136.6,137.26,136.3,137.1,102932800,0.0,0
2013-04-01,137.03,137.31,136.23,136.56,99194100,0.0,0
2013-04-02,137.05,137.58,136.84,137.23,101504300,0.0,0
2013-04-03,137.31,137.42,135.48,135.84,154167400,0.0,0
2013-04-04,136.02,136.67,135.72,136.39,131885000,0.0,0
2013-04-05,134.72,135.95,134.57,135.78,159666000,0.0,0
2013-04-08,135.88,136.71,135.42,136.7,86571200,0.0,0
2013-04-09,136.95,137.67,136.5,137.17,101922200,0.0,0
2013-04-10,137.54,139.03,137.51,138.85,135711100,0.0,0
2013-04-11,138.88,139.76,138.74,139.31,110142500,0.0,0
2013-04-12,138.86,139.18,138.2,138.97,116359900,0.0,0
2013-04-15,138.27,138.38,135.73,135.75,217259000,0.0,0
2013-04-16,136.77,137.82,136.44,137.75,147507800,0.0,0
2013-04-17,136.77,136.8,135.01,135.74,226834800,0.0,0
2013-04-18,135.97,136.0,134.37,134.89,167583200,0.0,0
2013-04-19,135.2,136.12,134.87,136.06,149687600,0.0,0
